year,decile,Total,Percent,Value per person
2020,9,344442663530.8223,0.17460877750323567,15185057.687731884
2020,10,605502858275.9773,0.306948369213335,26694125.921437964
2021,1,12320596595.801046,0.0058812199797914555,534748.1161371982
2021,2,55034232818.95048,0.02627051596978793,2388638.577211392
2021,3,90851364196.30438,0.04336777477843197,3943201.5710201557
2021,4,115017064794.57799,0.054903238997158356,4992060.103931337
2021,5,136579350332.25157,0.06519596658774865,5927665.914337554
2021,6,168313204583.08496,0.08034407862961175,7305260.615585284
2021,7,211936856657.17374,0.10116776944479837,9198648.292412054
2021,8,271141271254.1669,0.12942891599823397,11768284.342628771
2021,9,355099855089.741,0.16950643147317923,15412320.09938112
2021,10,678611110846.1927,0.3239340881412583,29453607.241588227
2022,1,13086429660.429659,0.006030708704673283,539802.4031856478
2022,2,56442320166.32016,0.026010699661515445,2328190.4123384138
2022,3,93811487179.48717,0.04323178796752914,3869631.942395214
2022,4,120449713097.71309,0.05550766344240057,4968227.730478184
2022,5,143460142758.14276,0.06611171680548336,5917590.346002671
2022,6,175702253638.25363,0.0809700688378697,7247545.83336442
2022,7,219727538461.53845,0.10125854134709245,9063171.855367862
2022,8,282011011781.0118,0.1299610594862303,11632677.959865188
2022,9,371263969507.9695,0.17109210921092108,15314275.028171822
2022,10,694010605682.6056,0.3198256445362846,28627257.587039787
2023,1,10694300951.309807,0.004693376117308034,421566.5780238807
2023,2,57409790449.41187,0.02519526433954784,2263079.0937169613
2023,3,98300074717.65312,0.0431406620320445,3874810.7815701496
2023,4,128118674127.18497,0.056227062251886034,5050405.0034368085
2023,5,151987679197.7131,0.06670238166284767,5991078.844168596
2023,6,183929326622.61584,0.08072051766388766,7250446.492534526
2023,7,230649032700.68887,0.10122425640406431,9092125.22471968
2023,8,297414359960.63544,0.13052535741597376,11723535.02150796
2023,9,392910408997.61,0.17243542502002032,15488426.718606511
2023,10,727180840339.2849,0.31913569709242,28665280.681933336
