land,time,name,value,value_trend
Tékkland,2010-10-01,foreign_country,6.3,7.175
Tékkland,2010-10-01,reporting_country,6.7,7.125
Tékkland,2010-10-01,p,-0.059701492537313494,0.004720432353524429
Tékkland,2011-01-01,foreign_country,7.3,6.925
Tékkland,2011-01-01,reporting_country,7,6.9
Tékkland,2011-01-01,p,0.04285714285714293,0.0027764902197088825
Tékkland,2011-04-01,foreign_country,7.9,7.025
Tékkland,2011-04-01,reporting_country,6.5,6.775
Tékkland,2011-04-01,p,0.2153846153846155,0.03876550120871991
Tékkland,2011-07-01,foreign_country,8.6,7.525
Tékkland,2011-07-01,reporting_country,6.3,6.625
Tékkland,2011-07-01,p,0.3650793650793651,0.1409049076959525
Tékkland,2011-10-01,foreign_country,7.7,7.875
Tékkland,2011-10-01,reporting_country,6.2,6.5
Tékkland,2011-10-01,p,0.24193548387096775,0.21631415179802282
Tékkland,2012-01-01,foreign_country,9,8.3
Tékkland,2012-01-01,reporting_country,6.8,6.45
Tékkland,2012-01-01,p,0.32352941176470584,0.28648221902491355
Tékkland,2012-04-01,foreign_country,8.6,8.475
Tékkland,2012-04-01,reporting_country,6.5,6.45
Tékkland,2012-04-01,p,0.32307692307692304,0.31340529594799044
Tékkland,2012-07-01,foreign_country,8.4,8.425
Tékkland,2012-07-01,reporting_country,6.7,6.55
