year,country,dwellings,population,new_dwellings,new_by_pop,rolling
2002,Spain,21487307,41837894,453548,10.840603018880444,96.93915616679547
2003,Spain,21926409,42717064,439102,10.279311330947278,97.4786758159809
2004,Spain,22417950,43197684,491541,11.378873922963093,99.15247476131063
2005,Spain,22927382,44108530,509432,11.54951207850273,101.03138195553318
2006,Spain,23493772,44708964,566390,12.668376748788006,104.06337992102551
2007,Spain,24034966,45200737,541194,11.973123358585944,106.43410918640086
2008,Spain,24569715,46157822,534749,11.585230342974155,108.45069126053089
2009,Spain,24908126,46745807,338411,7.239387267397053,106.20461804520761
2010,Spain,25106251,47021031,198125,4.213540107191609,101.00240585876391
2011,Spain,25249053,47190493,142802,3.0260756123060637,94.75403378853636
2012,Spain,25382415,47265321,133362,2.8215612880318743,86.73499205768779
2013,Spain,25441306,47129783,58891,1.249549568263448,77.70523029500397
2014,Spain,25492335,46771341,51029,1.0910313646983096,67.4173877367392
2015,Spain,25541915,46624382,49580,1.063392111020367,56.93126776925684
2016,Spain,25586279,46557008,44364,0.9528962857750652,45.2157873062439
2017,Spain,25645100,46572132,58821,1.2630085305091894,34.505672478167135
2018,Spain,25712558,46722980,67458,1.443786333834015,24.364228469026994
2019,Spain,25793043,47026208,80485,1.7114924511880694,18.83633365281801
2020,Spain,25882055,47450795,89012,1.875880056382617,16.49867360200902
2021,Spain,25976305,47385107,94250,1.9890215716934014,15.461619561396358
1990,Sweden,4044768,8590630,36062,4.197829495624884,44.272401557432445
1991,Sweden,4110602,8644119,65834,7.616045082211385,47.28233730426095
1992,Sweden,4167496,8692013,56894,6.545549345128683,49.22423925721208
1993,Sweden,4202155,8745109,34659,3.9632439115395814,48.58554282203123
1994,Sweden,4222875,8816381,20720,2.3501706652650336,46.34041903486935
1995,Sweden,4234838,8837496,11963,1.3536639790275435,43.10732033861717
1996,Sweden,4250179,8844499,15341,1.7345244767397228,40.53928137664683
1997,Sweden,4261882,8847625,11703,1.3227278506943954,37.57609952095967
1998,Sweden,4273036,8854322,11154,1.259723782351715,34.57261518423002
1999,Sweden,4284337,8861426,11301,1.2753026431637526,31.618781231746695
2000,Sweden,4295730,8882792,11393,1.2825922300105643,28.703543966132372
2001,Sweden,4310171,8909128,14441,1.6209218231009814,22.708420707021972
2002,Sweden,4331762,8940788,21591,2.414887815257447,18.57775917715074
2003,Sweden,4354125,8975670,22363,2.4915131683762883,17.106028433987447
2004,Sweden,4382521,9011392,28396,3.151122490287849,17.90698025901026
2005,Sweden,4407248,9047752,24727,2.7329440506326876,19.286260330615406
2006,Sweden,4439267,9113257,32019,3.5134529839331865,21.06518883780887
2007,Sweden,4473356,9182927,34089,3.712215070423624,23.454676057538094
2008,Sweden,4506793,9256347,33437,3.612332165161915,25.807284440348297
2009,Sweden,4530576,9340682,23783,2.5461738232818547,27.078155620466397
2010,Sweden,4551433,9415570,20857,2.215160632866624,28.01072402332246
2011,Sweden,4572564,9482855,21131,2.2283373519894587,28.618139552210938
2012,Sweden,4599786,9555893,27222,2.8487133541574816,29.051965091110972
2013,Sweden,4633678,9644864,33892,3.513994598575988,30.074446521310673
2014,Sweden,4669081,9747355,35403,3.63206223637079,30.55538626739361
2015,Sweden,4716568,9851017,47487,4.820517516110265,32.64295973287119
2016,Sweden,4795717,9995153,79149,7.918738212411555,37.04824496134955
2017,Sweden,4859252,10120242,63535,6.278011928963754,39.614041819889685
2018,Sweden,4924792,10230185,65540,6.406531260187377,42.40824091491515
2019,Sweden,4978239,10327589,53447,5.1751672147294014,45.03723430636269
2020,Sweden,5037444,10379295,59205,5.70414464566235,48.52621831915842
2021,Sweden,5096007,10452326,58563,5.602867725327358,51.90074869249631
1980,Switzerland,2700938,6335243,53191.799999999814,8.396173595866774,84.82192569841958
